title,undertitle,price,address,date,key_value,propertydetail
Condo For Sale in Yankin,"2 bedroom, 2 bathroom Condo for sale in Yankin, Yangon","For Sale                                    
                        8,200 Lakhs","Yankin, Yangon",Posted Date : 27 Jan 2026,"[('Type', 'Condo'), ('Area', '1045 ft<sup>2</sup>'), ('Bed Room', '2'), ('Bath Room', '2'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : #Yankin Royal Thitsar Condo For Sale #
Apartment For Sale in Okkalappa South,"2 bedroom, 1 bathroom Apartment for sale in Okkalappa South, Yangon","For Sale                                    
                        2,990 Lakhs","Okkalappa South, Yangon",Posted Date : 27 Jan 2026,"[('Type', 'Apartment'), ('Floor', '3'), ('Area', ""54' x 18'""), ('Bed Room', '2'), ('Bath Room', '1'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : #တောင်ဥက္ကလာ ၉ရပ်ကွက် VIP သစ္စာလမ်းမ၊မေတ္တာလမ်းတို့အနီး ဇာနည်လမ်းသွယ် အသင့်နေရောင်းပါမည်#
House For Sale in Dagon Myothit (North),"4 bedroom, 4 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        11,700 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 27 Jan 2026,"[('Type', 'House'), ('Floor', '2.5'), ('Area', ""60' x 20'""), ('Bed Room', '4'), ('Bath Room', '4'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : #မြောက်ဒဂုံ ၃၈ ရပ်ကွက် ပြည်ထောင်စုလမ်းမ ဒဲ့ပေါက် လမ်းသန့်၊တပင်ရွှေထီးတဆစ်ချိုး လုံးချင်းအိမ် နှင့် ခြံ အသင့်နေရောင်း#
Land For Sale in Yankin," Land for sale in Yankin, Yangon","For Sale                                    
                        90,000 Lakhs","Yankin, Yangon",Posted Date : 27 Jan 2026,"[('Type', 'Land'), ('Area', ""105' x 50'""), ('Ownership', '')]",Property Name : #ဘောက်ထော် ပြည်သာယာလမ်းမအနီး မြေသီးသန့်ရောင်း#
House For Sale in Dagon Myothit (North),"5 bedroom, 7 bathroom Privatehouse for sale in Dagon Myothit (North), Yangon","For Sale                                    
                        9,800 Lakhs","Dagon Myothit (North), Yangon",Posted Date : 27 Jan 2026,"[('Type', 'House'), ('Floor', '3'), ('Area', ""60' x 22'""), ('Bed Room', '5'), ('Bath Room', '7'), ('Ownership', '')]",Property Name : #မြောက်ဒဂုံ (၄၂)ရပ်ကွက် ဗိုလ်မင်းရောင်လမ်းဒဲ့ပေါက် 3RCလုံးချင်း အိမ်အသစ် အသင့်နေရောင်းပါမည်#
House For Sale in Mayangone,"4 bedroom, 3 bathroom Privatehouse for sale in Mayangone, Yangon","For Sale                                    
                        30,000 Lakhs","Mayangone, Yangon",Posted Date : 26 Jan 2026,"[('Type', 'House'), ('Area', ""60' x 70'""), ('Bed Room', '4'), ('Bath Room', '3'), (' Phone ', 'Yes'), ('Availability Date', 'Ready To Use'), ('Ownership', 'Contract')]",Property Name : မရမ်းကုန်းမြို့နယ် ဗိုလ်ဥာဏလမ်း (၉)မိုင်ရှိ လူနေ/စီးပွားရေးလုပ်ကိုင်ရန် သင့်တော်သော လုံးချင်းအိမ် ရောင်းမည်
House For Sale in Mayangone,"5 bedroom, 3 bathroom Privatehouse for sale in Mayangone, Yangon","For Sale                                    
                        38,000 Lakhs","Mayangone, Yangon",Posted Date : 26 Jan 2026,"[('Type', 'House'), ('Floor', 'နှစ်ထပ်လုံးချင်း၊'), ('Area', ""65' x 65'""), ('Bed Room', '5'), ('Bath Room', '3'), ('Aircon conditioner details', '3'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : မရမ်းကုန်းမြို့နယ် ရွှေနှင်းဆီလမ်းသွယ်က လုံးချင်းအိမ်ရောင်းမည်
Condo For Sale in Hlaing,"3 bedroom, 2 bathroom Condo for sale in Hlaing, Yangon","For Sale                                    
                        Ask for Price","Hlaing, Yangon",Posted Date : 26 Jan 2026,"[('Type', 'Condo'), ('Area', '2022 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : လှိုင်မြို့နယ်ရဲ့နေရာကောင်းရှိကွန်ဒိုကအရောင်းခန်းများ
House For Sale in Thingangkuun,"5 bedroom, 4 bathroom Privatehouse for sale in Thingangkuun, Yangon","For Sale                                    
                        23,000 Lakhs","Thingangkuun, Yangon",Posted Date : 26 Jan 2026,"[('Type', 'House'), ('Floor', '2.RC (အိမ်အသင့်အတင့်)'), ('Area', ""50' x 64'""), ('Bed Room', '5'), ('Bath Room', '4'), ('Ownership', 'Contract'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : သင်္ဃန်းကျွန်းမြို့နယ်၊ သုဝဏ္ဏ၊ VIP ၊ ပေါ်ဆန်းမွှေးလမ်းအနီး လုံးချင်းဈေးတန် ပမြန်ရောင်းမည်
Condo For Sale in Hlaing,"3 bedroom, 2 bathroom Condo for sale in Hlaing, Yangon","For Sale                                    
                        5,500 Lakhs","Hlaing, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'Condo'), ('Area', '1200 ft<sup>2</sup>'), ('Bed Room', '3'), ('Bath Room', '2'), ('Ownership', '')]",Property Name : Aung Dama Yeik Thar Condo
Land For Sale in Mayangone," Land for sale in Mayangone, Yangon","For Sale                                    
                        18,000 Lakhs","Mayangone, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'Land'), ('Area', '4246.50 ft<sup>2</sup>'), ('Ownership', '')]",Property Name : မရမ်းကုန်း၊ ကျိုက်ဝိုင်းဘုရားလမ်းမအနီး ပေကျယ် ဈေးတန်
House For Sale in Yankin,"3 bedroom, 3 bathroom Privatehouse for sale in Yankin, Yangon","For Sale                                    
                        35,000 Lakhs","Yankin, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2.5.RC နှစ်ထပ်ခွဲလုံးချင်းတိုက်သစ်'), ('Area', ""40' x 60'""), ('Bed Room', '3'), ('Bath Room', '3'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ရန်ကင်းမြို့နယ်၊  ပါရမီလမ်းမအနီး၊ ပါရမီရိပ်သာ ရှိ နှစ်ထပ်ခွဲတိုက်သစ် လုံးချင်းလှလှလေး အမြန်ရောင်းမည်
House For Sale in Okkalappa South,"6 bedroom, 5 bathroom Privatehouse for sale in Okkalappa South, Yangon","For Sale                                    
                        45,000 Lakhs","Okkalappa South, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2.RC (အိမ်အသင့်အတင့်)'), ('Area', ""70' x 100'""), ('Bed Room', '6'), ('Bath Room', '5'), ('Ownership', 'Grant'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : တောင်ဥက္ကလာပမြို့နယ်၊ သံသုမာလမ်းမအနီး၊ ချယ်ရီဥယျာဉ်အိမ်ရာ၊ အိမ်ရာဝန်းအတွင်းရှိ အသင့်နေ ပြင်ဆင်ပြီး လက်တင်နေရုံ 2.RC လုံးချင်းအိမ် အမြန်ရောင်းမည်
House For Sale in Bahan,"5 bedroom, 5 bathroom Privatehouse for sale in Bahan, Yangon","For Sale                                    
                        110,000 Lakhs","Bahan, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '3.RC'), ('Area', ""40' x 65'""), ('Bed Room', '5'), ('Bath Room', '5'), ('Ownership', ''), ('Furnishing Type', 'Fully Furnished')]",Property Name : Golden Valley ရွှေတောင်ကြား လုံးချင်းတိုက်သစ် အမြန်ရောင်းမည် 
House For Sale in Kamaryut,"7 bedroom, 6 bathroom Privatehouse for sale in Kamaryut, Yangon","For Sale                                    
                        82,000 Lakhs","Kamaryut, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2.5.RC With Basement'), ('Area', ""70' x 70'""), ('Bed Room', '7'), ('Bath Room', '6'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ကမာရွတ်မြို့နယ်၊ အင်းယားလမ်းနှင့် သံလွင်လမ်းမအနီး၊ ဝင်ဒါမီယာ တွင် လက်ရှိအိမ်ငှား တင်ထားပြီး အငှားဝင်ငွေရနေသော မိမိအိမ်ထဲကနေ ရွှေတိဂုံဘုရားဖူးခွင့်ရမယ့် လုံးချင်းအိမ် အမြန်ရောင်းမည်
House For Sale in Hlaing,"5 bedroom, 5 bathroom Privatehouse for sale in Hlaing, Yangon","For Sale                                    
                        Ask for Price","Hlaing, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '-'), ('Area', '8056 ft<sup>2</sup>'), ('Bed Room', '5'), ('Bath Room', '5'), ('Availability Date', '-'), ('Ownership', 'Contract')]",Property Name : လှိုင်မြို့နယ်၊ သီရိမင်္ဂလာဈေးသစ်၊ ဘုရင့်နောင်လမ်း၊ ဗဟိုလမ်း၊ အုတ်ကျင်းဘူတာရုံလမ်း၊ အေးရိပ်မွန်လမ်းအနီး  မြကန်သာ Garden Home အိမ်ရာဝန်းအတွင်း၊ ၂၄ နာရီ လုံခြုံရေး နှင့် အိမ်သုံးပစ္စည်းပရိဘောဂ အစုံပါဝင်သော 2.RC လုံးချင်းအိမ် အမြန်ရောင်းမည်။
House For Sale in Hlaing,"4 bedroom, 4 bathroom Privatehouse for sale in Hlaing, Yangon","For Sale                                    
                        60,000 Lakhs","Hlaing, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2.RC (တောင်အလှည့်)'), ('Area', ""60' x 80'""), ('Bed Room', '4'), ('Bath Room', '4'), ('Ownership', 'Contract'), ('Flooring Type', 'Parquet Flooring'), ('Room Partition Type', 'Master Bedroom Only')]",Property Name : လှိုင်မြို့နယ်၊ ဘုရင့်နောင်လမ်း..သီရိမင်္ဂလာစျေးသစ်..အနီး မြကန်သာဥယျာဥ်အိမ်ရာ ရှိ 2.RC ရှယ်လုံးချင်း ရောင်းမည်
House For Sale in Bahan,"4 bedroom, 4 bathroom Privatehouse for sale in Bahan, Yangon","For Sale                                    
                        95,000 Lakhs","Bahan, Yangon",Posted Date : 23 Jan 2026,"[('Type', 'House'), ('Floor', '2&amp;frac12;.RC (အသစ်စက်စက်)'), ('Area', ""66' x 77'""), ('Bed Room', '4'), ('Bath Room', '4'), ('Ownership', 'Inheritance'), ('Room Partition Type', 'Master and Single Bedroom')]",Property Name : ရွှေတောင်ကြားမှာမှ ရွှေတိဂုံစေတီတော်မြတ်ကြီးကို မိမိနေအိမ်ကနေ အမြဲတမ်း ဖူးမျှော်ခွင့် ရနေမယ့် အသင့်နေ 2½.RC အသင့်နေ  အသစ်စက်စက် နှစ်ထပ်ခွဲ လုံးချင်အိမ်လှလှလေး အမြန်ရောင်းမည်
