price,city,type,bed_room,bath_room,floor,ft_square
2990.0,okkalappa south,Apartment,2,1.0,3.0,972.0
11700.0,dagon myothit (north),House,4,4.0,2.5,1200.0
9800.0,dagon myothit (north),House,5,7.0,3.0,1320.0
38000.0,mayangone,House,5,3.0,2.0,4225.0
35000.0,yankin,House,3,3.0,2.5,2400.0
110000.0,bahan,House,5,5.0,3.0,2600.0
82000.0,kamaryut,House,7,6.0,2.5,4900.0
95000.0,bahan,House,4,4.0,2.5,5082.0
75000.0,yankin,House,7,7.0,4.0,4200.0
65000.0,mayangone,House,5,5.0,2.0,7700.0
73000.0,hlaing,House,5,5.0,2.0,4200.0
4500.0,thanlyin,Condo,2,2.0,7.0,943.0
850.0,mingalartaungnyunt,Apartment,2,1.0,5.0,625.0
7700.0,hlaing,Condo,4,2.0,5.0,1980.0
4500.0,sanchaung,Apartment,2,2.0,1.0,1025.0
3250.0,okkalappa south,Apartment,1,1.0,6.0,1350.0
7500.0,dagon myothit (north),House,4,3.0,2.0,1500.0
2300.0,thingangkuun,Apartment,2,1.0,2.0,880.0
10500.0,okkalappa south,House,4,3.0,2.5,1200.0
3500.0,kamaryut,Apartment,2,1.0,1.0,625.0
4800.0,thingangkuun,Apartment,1,1.0,1.0,1500.0
2600.0,dagon myothit (north),Apartment,2,1.0,7.0,1045.0
33000.0,thingangkuun,House,5,5.0,3.0,3500.0
3600.0,dagon myothit (north),Condo,2,2.0,5.0,1200.0
7900.0,okkalappa south,Condo,2,2.0,1.0,2400.0
8500.0,mingalartaungnyunt,Condo,2,2.0,7.0,1750.0
4600.0,hlaing,Condo,2,2.0,1.0,1088.0
99000.0,hlaing,Condo,3,2.0,7.0,1505.0
8500.0,dagon myothit (north),House,4,3.0,2.5,1200.0
21000.0,bahan,House,1,1.0,2.0,800.0
18000.0,yankin,House,3,2.0,2.0,1760.0
35000.0,yankin,House,6,3.0,3.5,2400.0
3500.0,dagon myothit (seikkan),Condo,3,2.0,4.0,1184.0
7200.0,pazundaung,Condo,3,2.0,5.0,1100.0
35000.0,thingangkuun,House,4,4.0,2.0,9600.0
39000.0,thingangkuun,House,4,4.0,2.0,8100.0
36000.0,mayangone,House,5,4.0,2.0,4800.0
56000.0,mayangone,House,4,2.0,1.5,4600.0
52000.0,mayangone,House,6,6.0,2.0,6400.0
40000.0,dagon myothit (north),House,1,2.0,2.0,9583.0
3600.0,okkalappa south,Apartment,1,1.0,1.0,972.0
6500.0,hlaingtharya,House,10,10.0,3.0,1000.0
4800.0,okkalappa south,Condo,1,2.0,1.0,972.0
16000.0,mingalartaungnyunt,Condo,3,3.0,1.0,1485.0
14600.0,yankin,Condo,2,3.0,5.0,1771.0
1450.0,thaketa,Apartment,1,1.0,3.0,972.0
32500.0,okkalappa south,House,5,5.0,2.5,2400.0
20000.0,thaketa,House,2,2.0,2.0,3920.0
60000.0,yankin,House,4,4.0,2.0,2750.0
27500.0,mayangone,House,5,5.0,3.0,3025.0
17540.0,bahan,Apartment,3,3.0,20.0,1754.0
4600.0,okkalappa south,Apartment,3,2.0,1.0,1750.0
55000.0,thingangkuun,House,5,5.0,2.5,4800.0
39000.0,thingangkuun,House,5,5.0,2.0,4900.0
35000.0,dagon myothit (north),House,5,5.0,3.0,4225.0
26000.0,ahlon,House,6,5.0,3.0,2400.0
38000.0,thingangkuun,House,5,5.0,2.5,378480.0
33000.0,thingangkuun,House,5,5.0,3.0,3500.0
35000.0,dagon myothit (north),House,6,6.0,2.5,4800.0
17540.0,bahan,Condo,3,3.0,1.0,1754.0
31339.0,hlaing,Condo,5,5.0,1.0,4477.0
13000.0,yankin,Condo,3,3.0,1.0,1283.0
7800.0,thingangkuun,Condo,3,3.0,1.0,1974.0
21000.0,yankin,Condo,3,3.0,1.0,1669.0
8600.0,yankin,Condo,3,3.0,1.0,1198.0
9500.0,yankin,Condo,3,3.0,1.0,1780.0
25000.0,thingangkuun,House,5,3.0,2.0,2400.0
5800.0,okkalappa south,Condo,3,2.0,1.0,1200.0
5200.0,yankin,Condo,1,1.0,26.0,517.0
1850.0,okkalappa south,Apartment,2,2.0,5.0,918.0
65000.0,thingangkuun,House,4,4.0,2.0,10000.0
4500.0,botahtaung,Condo,2,1.0,7.0,950.0
1400.0,tamwe,Apartment,1,1.0,5.0,625.0
1750.0,okkalappa south,Apartment,2,1.0,6.0,972.0
16000.0,thingangkuun,House,4,3.0,2.0,2700.0
6000.0,kyauktada,Condo,3,2.0,6.0,1250.0
1550.0,okkalappa south,Apartment,2,1.0,5.0,972.0
37500.0,mayangone,House,5,5.0,2.0,4900.0
9700.0,yankin,Condo,3,3.0,1.0,1500.0
2150.0,thanlyin,Condo,1,1.0,2.0,411.0
1900.0,okkalappa north,Apartment,1,1.0,1.0,1026.0
40000.0,okkalappa south,House,4,3.0,2.0,2400.0
22000.0,dagon myothit (north),House,5,5.0,2.0,6400.0
5000.0,hlaing,Apartment,2,2.0,1.0,1040.0
3600.0,okkalappa south,Condo,2,2.0,5.0,990.0
5300.0,sanchaung,Condo,2,2.0,1.0,1250.0
6500.0,sanchaung,Condo,3,2.0,5.0,1680.0
4000.0,botahtaung,Apartment,2,1.0,2.0,1080.0
1500.0,tamwe,Apartment,2,1.0,2.0,625.0
1250.0,thingangkuun,Apartment,1,1.0,4.0,625.0
16000.0,mingalartaungnyunt,Condo,3,3.0,1.0,1485.0
9250.0,hlaing,Condo,3,3.0,1.0,1455.0
19000.0,mingaladon,House,4,4.0,2.0,3500.0
13500.0,sanchaung,Condo,3,3.0,1.0,2540.0
1950.0,tamwe,Apartment,1,1.0,2.0,900.0
1550.0,tamwe,Apartment,2,1.0,2.0,900.0
26000.0,thingangkuun,Condo,6,6.0,1.0,4045.0
1800.0,okkalappa south,Apartment,1,1.0,4.0,972.0
2990.0,okkalappa south,Apartment,2,1.0,3.0,972.0
1920.0,okkalappa south,Apartment,2,1.0,4.0,972.0
2100.0,okkalappa south,Apartment,2,1.0,3.0,972.0
3300.0,okkalappa south,Apartment,2,1.0,1.0,972.0
2370.0,okkalappa south,Apartment,2,1.0,4.0,972.0
36.0,mayangone,Condo,2,2.0,1.0,1056.0
2120.0,thanlyin,Condo,1,1.0,1.0,484.0
3500.0,thanlyin,Condo,2,1.0,1.0,710.0
3050.0,tamwe,Apartment,1,1.0,1.0,825.0
1550.0,tamwe,Apartment,2,1.0,3.0,900.0
13000.0,kamaryut,Condo,2,2.0,1.0,937.0
21000.0,insein,House,4,4.0,2.0,30000.0
8800.0,yankin,Condo,2,2.0,1.0,1200.0
35000.0,yankin,House,3,3.0,2.5,2400.0
13500.0,sanchaung,Condo,3,3.0,1.0,2540.0
35000.0,mingalartaungnyunt,House,4,4.0,2.0,1500.0
1260.0,thaketa,Apartment,1,1.0,2.0,600.0
45000.0,yankin,House,5,3.0,2.0,2640.0
4200.0,dagon myothit (north),House,2,1.0,1.0,1200.0
13500.0,kamaryut,Condo,2,2.0,19.0,937.0
2200.0,sanchaung,Apartment,2,1.0,7.0,900.0
1350.0,sanchaung,Apartment,2,1.0,7.0,750.0
8700.0,sanchaung,Apartment,1,1.0,1.0,1566.0
1850.0,mayangone,Apartment,1,1.0,1.0,720.0
5300.0,tamwe,Condo,3,3.0,1.0,1500.0
18000.0,hlaing,Condo,3,2.0,1.0,2000.0
900.0,tamwe,Apartment,3,1.0,3.0,900.0
