price_lakhs,day,month,year,Type,Bed Room,Bath Room,Ownership,Furnishing Type,Floor,Room Partition Type,Flooring Type,State,city,Area_ft_square
8200.0,27,Jan,2026,Condo,2,2,0,Fully Furnished,0.0,0,0,Yangon,Yankin,1045.0
2990.0,27,Jan,2026,Apartment,2,1,0,Fully Furnished,3.0,0,0,Yangon,Okkalappa South,972.0
11700.0,27,Jan,2026,House,4,4,0,Fully Furnished,2.5,0,0,Yangon,Dagon Myothit (North),1200.0
90000.0,27,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Yankin,5250.0
9800.0,27,Jan,2026,House,5,7,0,0,3.0,0,0,Yangon,Dagon Myothit (North),1320.0
30000.0,26,Jan,2026,House,4,3,Contract,0,0.0,0,0,Yangon,Mayangone,4200.0
38000.0,26,Jan,2026,House,5,3,Contract,0,2.0,Master and Single Bedroom,0,Yangon,Mayangone,4225.0
23000.0,26,Jan,2026,House,5,4,Contract,0,0.0,Master and Single Bedroom,0,Yangon,Thingangkuun,3200.0
5500.0,23,Jan,2026,Condo,3,2,0,0,0.0,0,0,Yangon,Hlaing,1200.0
18000.0,23,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Mayangone,4246.5
35000.0,23,Jan,2026,House,3,3,Contract,0,2.5,Master and Single Bedroom,Parquet Flooring,Yangon,Yankin,2400.0
45000.0,23,Jan,2026,House,6,5,Grant,0,0.0,Master and Single Bedroom,0,Yangon,Okkalappa South,7000.0
110000.0,23,Jan,2026,House,5,5,0,Fully Furnished,3.0,0,0,Yangon,Bahan,2600.0
82000.0,23,Jan,2026,House,7,6,Contract,0,2.5,Master and Single Bedroom,Parquet Flooring,Yangon,Kamaryut,4900.0
60000.0,23,Jan,2026,House,4,4,Contract,0,0.0,Master Bedroom Only,Parquet Flooring,Yangon,Hlaing,4800.0
95000.0,23,Jan,2026,House,4,4,Inheritance,0,2.5,Master and Single Bedroom,0,Yangon,Bahan,5082.0
75000.0,23,Jan,2026,House,7,7,Contract,0,4.0,Master and Single Bedroom,0,Yangon,Yankin,4200.0
65000.0,23,Jan,2026,House,5,5,Contract,Fully Furnished,2.0,Master and Single Bedroom,0,Yangon,Mayangone,7700.0
73000.0,23,Jan,2026,House,5,5,Grant,Fully Furnished,2.0,Master and Single Bedroom,Parquet Flooring,Yangon,Hlaing,4200.0
1950.0,22,Jan,2026,Apartment,0,1,0,0,1.0,0,0,Yangon,Okkalappa South,756.0
27000.0,22,Jan,2026,House,0,1,0,0,1.0,0,0,Yangon,Thaketa,2700.0
4500.0,22,Jan,2026,Condo,2,2,Contract,Fully Furnished,7.0,0,0,Yangon,Thanlyin,943.0
850.0,22,Jan,2026,Apartment,2,1,0,Tiled Floor &amp; Walls for Kitchen,5.0,0,0,Yangon,Mingalartaungnyunt,625.0
7700.0,22,Jan,2026,Condo,4,2,0,Tiled Floor &amp; Walls for Kitchen,5.0,0,0,Yangon,Hlaing,1980.0
435600.0,21,Jan,2026,Land,0,0,Inheritance,0,0.0,0,0,Yangon,Hlaing,43560.0
380000.0,21,Jan,2026,Land,0,0,Inheritance,0,0.0,0,0,Yangon,Mayangone,46000.0
4500.0,21,Jan,2026,Apartment,2,2,Contract,0,1.0,Master and Single Bedroom,0,Yangon,Sanchaung,1025.0
6500.0,21,Jan,2026,Apartment,2,2,Contract,0,0.0,0,0,Yangon,Hlaing,1610.0
9900.0,21,Jan,2026,Condo,3,3,Contract,0,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Yankin,1305.0
19000.0,21,Jan,2026,Condo,3,3,Contract,Fully Furnished,0.0,Master Bedroom Only,0,Yangon,Kamaryut,3200.0
7300.0,21,Jan,2026,Condo,3,3,Contract,0,0.0,Master and Single Bedroom,Parquet Flooring,Yangon,Kamaryut,1750.0
7500.0,19,Jan,2026,Condo,3,3,Contract,Fully Furnished,0.0,Master Bedroom Only,Parquet Flooring,Yangon,Ahlon,1850.0
1200.0,18,Jan,2026,Apartment,0,1,0,Tiled Floor &amp; Walls for Kitchen,6.0,0,0,Yangon,Thaketa,972.0
3250.0,18,Jan,2026,Apartment,1,1,0,Fully Furnished,6.0,0,0,Yangon,Okkalappa South,1350.0
7500.0,18,Jan,2026,House,4,3,0,Fully Furnished,2.0,0,0,Yangon,Dagon Myothit (North),1500.0
2300.0,18,Jan,2026,Apartment,2,1,0,Tiled Floor &amp; Walls for Kitchen,2.0,0,0,Yangon,Thingangkuun,880.0
10500.0,18,Jan,2026,House,4,3,0,Fully Furnished,2.5,0,0,Yangon,Okkalappa South,1200.0
3500.0,18,Jan,2026,Apartment,2,1,0,Fully Furnished,1.0,0,0,Yangon,Kamaryut,625.0
21000.0,18,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,2400.0
4800.0,18,Jan,2026,Apartment,1,1,0,Fully Furnished,1.0,0,0,Yangon,Thingangkuun,1500.0
2600.0,18,Jan,2026,Apartment,2,1,0,Fully Furnished,7.0,0,0,Yangon,Dagon Myothit (North),1045.0
33000.0,18,Jan,2026,House,5,5,Grant,0,3.0,Master and Single Bedroom,0,Yangon,Thingangkuun,3500.0
4200.0,17,Jan,2026,Condo,2,2,0,Fully Furnished,0.0,0,0,Yangon,Thanlyin,946.0
4900.0,17,Jan,2026,Condo,3,2,0,0,0.0,0,0,Yangon,Thanlyin,1180.0
4900.0,17,Jan,2026,Condo,3,2,0,Fully Furnished,0.0,0,0,Yangon,Thanlyin,1200.0
3600.0,17,Jan,2026,Condo,2,2,0,Fully Furnished,5.0,0,0,Yangon,Dagon Myothit (North),1200.0
5700.0,17,Jan,2026,Condo,2,2,Contract,Partially Furnished,0.0,0,0,Yangon,Thaketa,1037.0
6300.0,17,Jan,2026,Condo,2,2,0,Fully Furnished,0.0,0,0,Yangon,Thingangkuun,900.0
1990.0,16,Jan,2026,Land,0,0,Contract,0,0.0,0,0,Yangon,Thanlyin,2400.0
5200.0,16,Jan,2026,Condo,3,2,0,Fully Furnished,0.0,0,0,Yangon,Thanlyin,1280.0
7900.0,14,Jan,2026,Condo,2,2,Contract,0,1.0,0,0,Yangon,Okkalappa South,2400.0
13500.0,11,Jan,2026,Land,0,0,0,0,0.0,0,0,Yangon,Dagon Myothit (North),3150.0
170000.0,07,Jan,2026,House,0,1,0,0,2.0,0,0,Yangon,Tamwe,1625.0
8500.0,06,Jan,2026,Condo,2,2,0,Tiled Floor &amp; Walls for Kitchen,7.0,0,0,Yangon,Mingalartaungnyunt,1750.0
2990.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2050.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2790.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,625.0
2550.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2750.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
4450.0,06,Jan,2026,Condo,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
3400.0,06,Jan,2026,Condo,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,918.0
2950.0,06,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2500.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
1850.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,756.0
1600.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
1720.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2350.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,972.0
2350.0,03,Jan,2026,Apartment,0,0,0,0,0.0,0,0,Yangon,Okkalappa South,1045.0
