Type,Bed Room,Bath Room,Floor,city,Area_ft_square,price_million
Apartment,2.0,1.0,3.0,Okkalappa South,972.0,299.0
House,4.0,4.0,2.5,Dagon Myothit (North),1200.0,1170.0
House,5.0,7.0,3.0,Dagon Myothit (North),1320.0,980.0
House,5.0,3.0,2.0,Mayangone,4225.0,3800.0
House,3.0,3.0,2.5,Yankin,2400.0,3500.0
House,5.0,5.0,3.0,Bahan,2600.0,11000.0
House,7.0,6.0,2.5,Kamaryut,4900.0,8200.0
House,4.0,4.0,2.5,Bahan,5082.0,9500.0
House,7.0,7.0,4.0,Yankin,4200.0,7500.0
House,5.0,5.0,2.0,Mayangone,7700.0,6500.0
House,5.0,5.0,2.0,Hlaing,4200.0,7300.0
Condo,2.0,2.0,7.0,Thanlyin,943.0,450.0
Apartment,2.0,1.0,5.0,Mingalartaungnyunt,625.0,85.0
Condo,4.0,2.0,5.0,Hlaing,1980.0,770.0
Apartment,2.0,2.0,1.0,Sanchaung,1025.0,450.0
Apartment,1.0,1.0,6.0,Okkalappa South,1350.0,325.0
House,4.0,3.0,2.0,Dagon Myothit (North),1500.0,750.0
Apartment,2.0,1.0,2.0,Thingangkuun,880.0,230.0
House,4.0,3.0,2.5,Okkalappa South,1200.0,1050.0
Apartment,2.0,1.0,1.0,Kamaryut,625.0,350.0
Apartment,1.0,1.0,1.0,Thingangkuun,1500.0,480.0
Apartment,2.0,1.0,7.0,Dagon Myothit (North),1045.0,260.0
House,5.0,5.0,3.0,Thingangkuun,3500.0,3300.0
Condo,2.0,2.0,5.0,Dagon Myothit (North),1200.0,360.0
Condo,2.0,2.0,1.0,Okkalappa South,2400.0,790.0
Condo,2.0,2.0,7.0,Mingalartaungnyunt,1750.0,850.0
Condo,2.0,2.0,1.0,Hlaing,1088.0,460.0
Condo,3.0,2.0,7.0,Hlaing,1505.0,9900.0
House,4.0,3.0,2.5,Dagon Myothit (North),1200.0,850.0
House,1.0,1.0,2.0,Bahan,800.0,2100.0
House,3.0,2.0,2.0,Yankin,1760.0,1800.0
House,6.0,3.0,3.5,Yankin,2400.0,3500.0
Condo,3.0,2.0,4.0,Dagon Myothit (Seikkan),1184.0,350.0
Condo,3.0,2.0,5.0,Pazundaung,1100.0,720.0
House,4.0,4.0,2.0,Thingangkuun,9600.0,3500.0
House,4.0,4.0,2.0,Thingangkuun,8100.0,3900.0
House,5.0,4.0,2.0,Mayangone,4800.0,3600.0
House,4.0,2.0,1.5,Mayangone,4600.0,5600.0
House,6.0,6.0,2.0,Mayangone,6400.0,5200.0
House,1.0,2.0,2.0,Dagon Myothit (North),9583.0,4000.0
Apartment,1.0,1.0,1.0,Okkalappa South,972.0,360.0
House,10.0,10.0,3.0,Others,1000.0,650.0
Condo,1.0,2.0,1.0,Okkalappa South,972.0,480.0
